electoral_district,party
Simcoe North/Simcoe-Nord,Conservative
Simcoe--Grey,Conservative
Spadina--Fort York,Liberal
Stormont--Dundas--South Glengarry,Conservative
Sudbury,Liberal
Thornhill,Conservative
Thunder Bay--Rainy River,Liberal
Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord,Liberal
Timmins--James Bay/Timmins--Baie James,New Democratic Party
Toronto Centre/Toronto-Centre,Liberal
Toronto--Danforth,Liberal
Toronto--St. Paul's,Liberal
University--Rosedale,Liberal
Vaughan--Woodbridge,Liberal
Waterloo,Liberal
Wellington--Halton Hills,Conservative
Whitby,Liberal
Willowdale,Liberal
Windsor West/Windsor-Ouest,New Democratic Party
Windsor--Tecumseh,Liberal
York Centre/York-Centre,Liberal
York South--Weston/York-Sud--Weston,Liberal
York--Simcoe,Conservative
Brandon--Souris,Conservative
Charleswood--St. James--Assiniboia--Headingley,Conservative
Churchill--Keewatinook Aski,New Democratic Party
Dauphin--Swan River--Neepawa,Conservative
Elmwood--Transcona,New Democratic Party
Kildonan--St. Paul,Conservative
Portage--Lisgar,Conservative
Provencher,Conservative
Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital,Liberal
Selkirk--Interlake--Eastman,Conservative
Winnipeg Centre/Winnipeg-Centre,New Democratic Party
Winnipeg North/Winnipeg-Nord,Liberal
Winnipeg South/Winnipeg-Sud,Liberal
Winnipeg South Centre/Winnipeg-Centre-Sud,Liberal
Battlefords--Lloydminster,Conservative
Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek,Conservative
Cypress Hills--Grasslands,Conservative
Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill,Conservative
Moose Jaw--Lake Centre--Lanigan,Conservative
Prince Albert,Conservative
Regina--Lewvan,Conservative
Regina--Qu'Appelle,Conservative
Regina--Wascana,Conservative
Saskatoon West/Saskatoon-Ouest,Conservative
Saskatoon--Grasswood,Conservative
Saskatoon--University,Conservative
Souris--Moose Mountain,Conservative
Yorkton--Melville,Conservative
Banff--Airdrie,Conservative
Battle River--Crowfoot,Conservative
Bow River,Conservative
Calgary Centre/Calgary-Centre,Conservative
Calgary Confederation,Conservative
Calgary Forest Lawn,Conservative
Calgary Heritage,Conservative
Calgary Midnapore,Conservative
Calgary Nose Hill,Conservative
Calgary Rocky Ridge,Conservative
Calgary Shepard,Conservative
Calgary Signal Hill,Conservative
Calgary Skyview,Liberal
Edmonton Centre/Edmonton-Centre,Liberal
Edmonton Griesbach,New Democratic Party
Edmonton Manning,Conservative
Edmonton Mill Woods,Conservative
Edmonton Riverbend,Conservative
Edmonton Strathcona,New Democratic Party
Edmonton West/Edmonton-Ouest,Conservative
Edmonton--Wetaskiwin,Conservative
Foothills,Conservative
Fort McMurray--Cold Lake,Conservative
Grande Prairie--Mackenzie,Conservative
Lakeland,Conservative
Lethbridge,Conservative
Medicine Hat--Cardston--Warner,Conservative
Peace River--Westlock,Conservative
Red Deer--Lacombe,Conservative
Red Deer--Mountain View,Conservative
St. Albert--Edmonton,Conservative
Sherwood Park--Fort Saskatchewan,Conservative
Sturgeon River--Parkland,Conservative
Yellowhead,Conservative
Abbotsford,Conservative
Burnaby North--Seymour/Burnaby-Nord--Seymour,Liberal
Burnaby South/Burnaby-Sud,New Democratic Party
Cariboo--Prince George,Conservative
Central Okanagan--Similkameen--Nicola,Conservative
Chilliwack--Hope,Conservative
Cloverdale--Langley City,Liberal
Coquitlam--Port Coquitlam,Liberal
Courtenay--Alberni,New Democratic Party
Cowichan--Malahat--Langford,New Democratic Party
Delta,Liberal
Esquimalt--Saanich--Sooke,New Democratic Party
Fleetwood--Port Kells,Liberal
Kamloops--Thompson--Cariboo,Conservative
Kelowna--Lake Country,Conservative
Kootenay--Columbia,Conservative
Langley--Aldergrove,Conservative
Mission--Matsqui--Fraser Canyon,Conservative
Nanaimo--Ladysmith,New Democratic Party
New Westminster--Burnaby,New Democratic Party
North Island--Powell River,New Democratic Party
North Okanagan--Shuswap,Conservative
North Vancouver,Liberal
Pitt Meadows--Maple Ridge,Conservative
Port Moody--Coquitlam,New Democratic Party
Prince George--Peace River--Northern Rockies,Conservative
Richmond Centre/Richmond-Centre,Liberal
Saanich--Gulf Islands,Green Party
Skeena--Bulkley Valley,New Democratic Party
South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest,New Democratic Party
South Surrey--White Rock/Surrey-Sud--White Rock,Conservative
Steveston--Richmond East/Steveston--Richmond-Est,Liberal
Surrey Centre/Surrey-Centre,Liberal
Surrey--Newton,Liberal
Vancouver Centre/Vancouver-Centre,Liberal
Vancouver East/Vancouver-Est,New Democratic Party
Vancouver Granville,Liberal
Vancouver Kingsway,New Democratic Party
Vancouver Quadra,Liberal
Vancouver South/Vancouver-Sud,Liberal
Victoria,New Democratic Party
West Vancouver--Sunshine Coast--Sea to Sky Country,Liberal
Yukon,Liberal
Northwest Territories/Territoires du Nord-Ouest,Liberal
Nunavut,New Democratic Party
